number,dak-name,alt-name
1,C2F,LC-1/1
2,C2B,RC-1/1
3,C2FP,LCP-1/1
4,C2BP,RCP-1/2
5,Cr3F,LC-1/2
6,Cr3B,RC-1/2
7,Cr3FP,LCP-1/2
8,Cr3RP,RCP-1/2
9,C3F,LC-2/1
10,C3B,RC-2/1
11,C3FP,LCP-2/1
12,C3RP,RCP-2/1
13,FCr3,LC-1/1/1
14,BCr3,RC-1/1/1
15,FCr3P,LCP-1/1/1
16,BCr3P,RCP-1/1/1
17,Cr4F,LC-1/3
18,Cr4B,RC-1/3
19,Cr4FP,LCP-1/3
20,Cr4BP,RCP-1/3
21,C4F,LC-2/2
22,C4B,RC-2/2
23,C4FP,LCP-2/2
24,C4BP,RCP-2/2
25,Cr4F,LC-3/1
26,Cr4B,RC-3/1
27,Cr4FP,LCP-3/1
28,Cr4BP,RCP-3/1
29,FCr4,LC-1/2/1
30,BCr4,RC-1/2/1
31,FCr4P,LCP-1/2/1
32,BCr4P,RCP-1/2/1
33,FCr4,LC-1/1/2
34,BCr4,RC-1/1/2
35,FCr4P,LCP-1/1/2
36,BCr4P,RCP-1/1/2
37,FCr4,LC-2/1/1
38,BCr4,RC-2/1/1
39,FCr4P,LCP-2/1/1
40,BCr4P,RCP-2/1/1
41,Cr5F,LC-1/4
42,Cr5B,RC-1/4
43,Cr5FP,LCP-1/4
44,Cr5BP,RCP-1/4
45,C5F,LC-2/3
46,C5B,RC-2/3
47,C5FP,LCP-2/3
48,C5BP,RCP-2/3
49,C5F,LC-3/2
50,C5B,RC-3/2
51,C5FP,LCP-3/2
52,C5BP,RCP-3/2
53,Cr5F,LC-4/1
54,Cr5B,RC-4/1
55,Cr5FP,LCP-4/1
56,Cr5BP,RCP-4/1
57,FCr5,LC-1/3/1
58,BCr5,RC-1/3/1
59,FCr5P,LCP-1/3/1
60,BCr5P,RCP-1/3/1
61,FCr5,LC-2/1/2
62,BCr5,RC-2/1/2
63,FCr5P,LCP-2/1/2
64,BCr5P,RCP-2/1/2
65,FCr5,LC-1/1/3
66,BCr5,RC-1/1/3
67,FCr5P,LCP-1/1/3
68,BCr5P,RCP-1/1/3
69,FCr5,LC-3/1/1
70,BCr5,RC-3/1/1
71,FCr5P,LCP-3/1/1
72,BCr5P,RCP-3/1/1
73,Cr6F,LC-2/4
74,Cr6B,RC-2/4
75,Cr6FP,LCP-2/4
76,Cr5BP,RCP-2/4
77,C6F,LC-3/3
78,C6B,RC-3/3
79,C6FP,LCP-3/3
80,C6BP,RCP-3/3
81,Cr6F,LC-4/2
82,Cr6B,RC-4/2
83,Cr6FP,LCP-4/2
84,Cr6BP,RCP-4/2
85,Cr6F,LC-5/1
86,Cr6B,RC-5/1
87,Cr6FP,LCP-5/1
88,Cr6BP,RCP-5/1
89,FCr6,LC-2/2/2
90,BCr6,RC-2/2/2
91,FCr6P,LCP-2/2/2
92,BCr6P,RCP-2/2/2
93,C7F,LC-3/4
94,C7B,RC-3/4
95,C7FP,LCP-3/4
96,C7BP,RCP-3/4
97,C7F,LC-4/3
98,C7B,RC-4/3
99,C7FP,LCP-4/3
100,C7BP,RCP-4/3
101,Cr7F,LC-5/2
102,Cr7B,RC-5/2
103,Cr7FP,LCP-5/2
104,Cr7BP,RCP-5/2
105,FCr7,LC-3/1/3
106,BCr7,RC-3/1/3
107,FCr7P,LCP-3/1/3
108,BCr7P,RCP-3/1/3
109,Cr8F,LC-2/6
110,Cr8B,RC-2/6
111,Cr8FP,LCP-2/6
112,Cr8BP,RCP-2/6
113,Cr8F,LC-5/3
114,Cr8B,RC-5/3
115,C8F,LC-4/4
116,C8B,RC-4/4
117,C8FP,LCP-4/4
118,C8BP,RCP-4/4
119,Cr8F,LC-5/3
120,Cr8B,RC-5/3
121,Cr8F,LC-6/2
122,Cr8B,RC-6/2
123,Cr8FP,LCP-6/2
124,Cr8BP,RCP-6/2
125,FCr8,LC-3/2/3
126,BCr8,RC-3/2/3
127,FCr8P,LCP-3/2/3
128,BCr8P,RCP-3/2/3
129,Cr9F,LC-4/5
130,Cr9B,RC-4/5
131,Cr9FP,LCP-4/5
132,Cr9BP,RCP-4/5
133,C9F,LC-5/4
134,C9B,RC-5/4
135,C9FP,LCP-5/4
136,C9BP,RCP-5/4
137,FCr9,LC-4/1/4
138,BCr9,RC-4/1/4
139,FCr9P,LCP-4/1/4
140,BCr9P,RCP-4/1/4
141,Cr10F,LC-4/6
142,Cr10B,RC-4/6
143,Cr10FP,LCP-4/6
144,Cr10BP,RCP-4/6
145,C10F,LC-5/5
146,C10B,RC-5/5
147,C10FP,LCP-5/5
148,C10BP,RCP-5/5
149,Cr10F,LC-6/4
150,Cr10B,RC-6/4
151,Cr10FP,LCP-6/4
152,Cr10BP,RCP-6/4
153,Cr11F,LC-5/6
154,Cr11B,RC-5/6
155,Cr11FP,LCP-5/6
156,Cr11BP,RCP-5/6
157,C11F,LC-6/5
158,C11B,RC-6/5
159,C11FP,LCP-6/5
160,C11BP,RCP-6/5
161,FCr11,LC-5/1/5
162,BCr11,RC-5/1/5
163,FCr11P,LCP-5/1/5
164,FCr11B,RCP-5/1/5
165,C12F,LC-6/6
166,C12B,RC-6/6
167,C12FP,LCP-6/6
168,C12BP,RCP-6/6,
